family_pfam,family_name,gene_id,gene_name,protein_id,seqid,start,end,strand,evalue,score
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141896559,LOC141896559,XP_074637907.1,NC_133892.1,8837614,8838802,-,1.2e-24,76.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877339,LOC141877339,XP_074618377.1,NC_133884.1,12338670,12339733,-,1.4e-24,76.5
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141859821,LOC141859821,XP_074606811.1,NC_133882.1,2776741,2777647,-,1.8e-24,76.1
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141870777,LOC141870777,XP_074612887.1,NW_027435761.1,2801,3202,+,5.6e-24,74.6
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141876593,LOC141876593,XP_074617375.1,NC_133884.1,85765,88607,-,1.3e-22,70.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141860276,LOC141860276,XP_074607416.1,NC_133893.1,7878920,7881125,+,1.4e-22,70.1
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141893715,LOC141893715,XP_074635201.1,NC_133891.1,8843671,8855744,-,2.4e-21,66.1
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141893715,LOC141893715,XP_074635200.1,NC_133891.1,8843671,8855744,-,2.4e-21,66.1
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141873131,LOC141873131,XP_074613110.1,NC_133883.1,25325109,25325725,-,1.7e-19,60.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141897469,LOC141897469,XP_074639142.1,NC_133892.1,10287149,10288610,-,2.6e-19,59.6
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141879632,LOC141879632,XP_074621010.1,NC_133885.1,6804195,6805242,-,1e-18,57.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141896558,LOC141896558,XP_074637906.1,NC_133892.1,8838925,8839589,+,1.7e-18,57.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141859812,LOC141859812,XP_074606801.1,NC_133882.1,2777847,2778632,+,1.7e-18,57.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141897002,LOC141897002,XP_074638513.1,NC_133892.1,9146575,9147116,-,1.7e-18,57.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877854,LOC141877854,XP_074618991.1,NC_133884.1,12303737,12305314,-,1.7e-18,57.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877338,LOC141877338,XP_074618376.1,NC_133884.1,12339875,12341392,+,1.7e-18,57.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141870778,LOC141870778,XP_074612888.1,NW_027435761.1,4031,4411,-,3.1e-18,56.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141870783,LOC141870783,XP_074612890.1,NW_027435761.1,13702,14082,-,3.1e-18,56.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141870776,LOC141870776,XP_074612886.1,NW_027435761.1,2106,2486,-,3.1e-18,56.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141860130,LOC141860130,XP_074607232.1,NC_133893.1,4816379,4825305,+,6.1e-18,55.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141878630,LOC141878630,XP_074619713.1,NC_133885.1,6496738,6497118,+,3.3e-15,46.4
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141882331,LOC141882331,XP_074624385.1,NC_133886.1,14009073,14009453,-,7.3e-15,45.3
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141860951,LOC141860951,XP_074608277.1,NC_133893.1,8560436,8561039,+,5.9e-13,39.2
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141889360,LOC141889360,XP_074630718.1,NC_133889.1,13131481,13138335,-,6.2e-11,32.8
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141860952,LOC141860952,XP_074608278.1,NC_133893.1,8567587,8567997,+,2.2e-10,31.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141863300,LOC141863300,XP_074608886.1,NC_133894.1,280777,292586,+,3.2e-10,30.4
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141866126,LOC141866126,XP_074611655.1,NC_133895.1,15175791,15178725,-,6.4e-10,29.5
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141863300,LOC141863300,XP_074608885.1,NC_133894.1,280777,292586,+,6.9e-10,29.4
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141878841,LOC141878841,XP_074619987.1,NC_133882.1,24338907,24344467,+,5e-09,26.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141866521,LOC141866521,XP_074612138.1,NC_133895.1,8433712,8434285,+,3.9e-08,23.8
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141896560,LOC141896560,XP_074637908.1,NC_133892.1,8841374,8841785,-,4e-08,23.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141865759,LOC141865759,XP_074611173.1,NC_133895.1,2585915,2586677,+,4e-08,23.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877340,LOC141877340,XP_074618379.1,NC_133884.1,12342212,12342838,-,4e-08,23.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141877856,LOC141877856,XP_074618993.1,NC_133884.1,12302724,12303108,+,4e-08,23.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141897004,LOC141897004,XP_074638515.1,NC_133892.1,9144775,9145383,+,4e-08,23.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141859830,LOC141859830,XP_074606818.1,NC_133882.1,2780355,2780799,-,4e-08,23.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141886633,LOC141886633,XP_074628956.1,NC_133888.1,3220439,3228095,-,7.5e-08,22.9
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141858933,LOC141858933,XP_074605896.1,NC_133892.1,15352078,15355815,-,1.4e-07,22.0
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141884161,LOC141884161,XP_074625987.1,NC_133887.1,6767873,6777788,+,7.5e-07,19.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141884161,LOC141884161,XP_074625986.1,NC_133887.1,6767873,6777788,+,7.6e-07,19.7
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141891878,LOC141891878,XP_074633014.1,NC_133890.1,20491622,20494969,+,2.7e-06,17.9
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141876450,LOC141876450,XP_074617166.1,NC_133884.1,1712330,1717721,-,7.3e-06,16.5
PF00125,Histone — кор-гистон (H2A/H2B/H3/H4),gene-LOC141870785,LOC141870785,XP_074612891.1,NW_027435761.1,5690,6001,-,8.9e-06,16.2
PF00145,DNA_methylase — C-5 цитозин-ДНК-метилтрансфераза (DNMT),gene-LOC141882846,LOC141882846,XP_074624725.1,NC_133882.1,26316122,26342292,-,2e-55,178.5
PF00145,DNA_methylase — C-5 цитозин-ДНК-метилтрансфераза (DNMT),gene-LOC141876438,LOC141876438,XP_074617150.1,NC_133884.1,22276334,22286440,-,1.3e-46,149.5
PF00145,DNA_methylase — C-5 цитозин-ДНК-метилтрансфераза (DNMT),gene-LOC141881618,LOC141881618,XP_074623504.1,NC_133886.1,15919421,15951412,+,8.4e-25,77.8
PF00385,Chromo — хромодомен,gene-LOC141876265,LOC141876265,XP_074616893.1,NC_133884.1,8438149,8482394,+,6.6e-25,77.0
PF00385,Chromo — хромодомен,gene-LOC141881008,LOC141881008,XP_074622744.1,NC_133886.1,3085181,3088424,-,3e-23,71.7
PF00385,Chromo — хромодомен,gene-LOC141883287,LOC141883287,XP_074624823.1,NC_133882.1,5570529,5602246,+,5.1e-23,71.0
PF00385,Chromo — хромодомен,gene-LOC141890328,LOC141890328,XP_074631872.1,NC_133889.1,2744191,2747160,-,1.8e-20,62.8
PF00385,Chromo — хромодомен,gene-LOC141875994,LOC141875994,XP_074616585.1,NC_133884.1,1926799,1931696,-,3.3e-20,62.0
PF00385,Chromo — хромодомен,gene-LOC141884405,LOC141884405,XP_074626287.1,NC_133887.1,3137546,3156415,+,4.4e-19,58.4
PF00385,Chromo — хромодомен,gene-LOC141884405,LOC141884405,XP_074626286.1,NC_133887.1,3137546,3156415,+,5.8e-19,58.0
PF00385,Chromo — хромодомен,gene-LOC141875982,LOC141875982,XP_074616565.1,NC_133884.1,1973477,1983371,+,1.4e-17,53.6
PF00385,Chromo — хромодомен,gene-LOC141875982,LOC141875982,XP_074616567.1,NC_133884.1,1973477,1983371,+,1.4e-17,53.6
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625338.1,NC_133887.1,9377876,9412113,+,6e-17,51.5
PF00385,Chromo — хромодомен,gene-LOC141875982,LOC141875982,XP_074616564.1,NC_133884.1,1973477,1983371,+,7.1e-17,51.3
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625339.1,NC_133887.1,9377876,9412113,+,7.6e-17,51.2
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625337.1,NC_133887.1,9377876,9412113,+,7.7e-17,51.2
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625335.1,NC_133887.1,9377876,9412113,+,8e-17,51.2
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625333.1,NC_133887.1,9377876,9412113,+,8.1e-17,51.1
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625332.1,NC_133887.1,9377876,9412113,+,8.1e-17,51.1
PF00385,Chromo — хромодомен,gene-LOC141883672,LOC141883672,XP_074625334.1,NC_133887.1,9377876,9412113,+,8.1e-17,51.1
PF00385,Chromo — хромодомен,gene-LOC141895390,LOC141895390,XP_074637295.1,NC_133882.1,5729666,5732217,-,5.1e-16,48.6
PF00385,Chromo — хромодомен,gene-LOC141895377,LOC141895377,XP_074637274.1,NC_133882.1,5715208,5717759,-,5.1e-16,48.6
PF00385,Chromo — хромодомен,gene-LOC141883975,LOC141883975,XP_074625736.1,NC_133887.1,21366616,21373456,+,7.1e-16,48.1
PF00385,Chromo — хромодомен,gene-LOC141895377,LOC141895377,XP_074637266.1,NC_133882.1,5715208,5717759,-,7.8e-16,48.0
PF00385,Chromo — хромодомен,gene-LOC141895390,LOC141895390,XP_074637288.1,NC_133882.1,5729666,5732217,-,7.8e-16,48.0
PF00385,Chromo — хромодомен,gene-LOC141875533,LOC141875533,XP_074615939.1,NC_133884.1,26212594,26215314,-,8.7e-15,44.6
PF00385,Chromo — хромодомен,gene-LOC141866517,LOC141866517,XP_074612134.1,NC_133895.1,7751804,7753345,-,2.2e-14,43.3
PF00385,Chromo — хромодомен,gene-LOC141890466,LOC141890466,XP_074632052.1,NC_133889.1,1455149,1456824,-,1.1e-11,34.7
PF00385,Chromo — хромодомен,gene-LOC141890466,LOC141890466,XP_074632051.1,NC_133889.1,1455149,1456824,-,1.1e-11,34.7
PF00385,Chromo — хромодомен,gene-LOC141891609,LOC141891609,XP_074632707.1,NC_133882.1,22581984,22585186,+,1.4e-11,34.4
PF00385,Chromo — хромодомен,gene-LOC141880716,LOC141880716,XP_074622370.1,NC_133882.1,11723673,11724101,-,4.8e-11,32.7
PF00385,Chromo — хромодомен,gene-LOC141859489,LOC141859489,XP_074606442.1,NC_133893.1,10183705,10184717,+,6.6e-10,29.0
PF00385,Chromo — хромодомен,gene-LOC141882153,LOC141882153,XP_074624209.1,NC_133886.1,8850199,8880801,-,2.9e-07,20.6
PF00385,Chromo — хромодомен,gene-LOC141882153,LOC141882153,XP_074624208.1,NC_133886.1,8850199,8880801,-,3.6e-07,20.2
PF00385,Chromo — хромодомен,gene-LOC141894073,LOC141894073,XP_074635717.1,NC_133891.1,17255478,17265822,+,3e-06,17.3
PF00385,Chromo — хромодомен,gene-LOC141894073,LOC141894073,XP_074635718.1,NC_133891.1,17255478,17265822,+,3e-06,17.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141863352,LOC141863352,XP_074608959.1,NC_133894.1,13112842,13166697,-,1.4e-115,367.7
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141895536,LOC141895536,XP_074637489.1,NC_133882.1,31279597,31300254,-,1e-47,150.2
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141895536,LOC141895536,XP_074637480.1,NC_133882.1,31279597,31300254,-,1.2e-47,150.0
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141895536,LOC141895536,XP_074637473.1,NC_133882.1,31279597,31300254,-,1.2e-47,150.0
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141884315,LOC141884315,XP_074626176.1,NC_133887.1,5840475,5866934,+,2.1e-43,136.4
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141878922,LOC141878922,XP_074620091.1,NC_133885.1,8671898,8706275,+,3.5e-42,132.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141878922,LOC141878922,XP_074620092.1,NC_133885.1,8671898,8706275,+,3.5e-42,132.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141897095,LOC141897095,XP_074638644.1,NC_133892.1,18542927,18560171,-,5.4e-32,99.8
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141897650,LOC141897650,XP_074639374.1,NC_133892.1,14659292,14667907,+,3e-31,97.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141897650,LOC141897650,XP_074639373.1,NC_133892.1,14659292,14667907,+,3e-31,97.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141874312,LOC141874312,XP_074614625.1,NC_133883.1,11822168,11850840,+,1.6e-27,85.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141874312,LOC141874312,XP_074614624.1,NC_133883.1,11822168,11850840,+,1.6e-27,85.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141874312,LOC141874312,XP_074614622.1,NC_133883.1,11822168,11850840,+,1.6e-27,85.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141874312,LOC141874312,XP_074614623.1,NC_133883.1,11822168,11850840,+,1.6e-27,85.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141863293,LOC141863293,XP_074608869.1,NC_133894.1,517407,527601,-,4.1e-27,84.2
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141863293,LOC141863293,XP_074608870.1,NC_133894.1,517407,527601,-,4.1e-27,84.2
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141881559,LOC141881559,XP_074623448.1,NC_133886.1,17821312,17840219,-,8.6e-27,83.2
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141866828,LOC141866828,XP_074612463.1,NC_133895.1,4393101,4427523,+,1e-25,79.7
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141866828,LOC141866828,XP_074612462.1,NC_133895.1,4393101,4427523,+,1e-25,79.7
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141890471,LOC141890471,XP_074632056.1,NC_133889.1,6372110,6391302,-,5e-25,77.5
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141892385,LOC141892385,XP_074633723.1,NC_133890.1,21885099,21895260,+,1.2e-24,76.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141897742,LOC141897742,XP_074639460.1,NC_133892.1,10037766,10053391,-,3.9e-24,74.7
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141877156,LOC141877156,XP_074618144.1,NC_133884.1,3730445,3746443,-,4.9e-24,74.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141877862,LOC141877862,XP_074618996.1,NC_133884.1,24892179,24919485,-,5.1e-23,71.1
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880591,LOC141880591,XP_074622182.1,NC_133886.1,2238107,2266093,-,7.6e-22,67.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880591,LOC141880591,XP_074622183.1,NC_133886.1,2238107,2266093,-,7.7e-22,67.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880591,LOC141880591,XP_074622180.1,NC_133886.1,2238107,2266093,-,7.7e-22,67.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880591,LOC141880591,XP_074622181.1,NC_133886.1,2238107,2266093,-,7.8e-22,67.3
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141897860,LOC141897860,XP_074639610.1,NC_133892.1,20527801,20540678,-,1.8e-21,66.1
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141897860,LOC141897860,XP_074639609.1,NC_133892.1,20527801,20540678,-,1.9e-21,66.1
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880255,LOC141880255,XP_074621810.1,NC_133885.1,24062634,24092859,-,8.5e-21,63.9
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880255,LOC141880255,XP_074621809.1,NC_133885.1,24062634,24092859,-,8.7e-21,63.9
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141880255,LOC141880255,XP_074621808.1,NC_133885.1,24062634,24092859,-,8.8e-21,63.9
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141894075,LOC141894075,XP_074635721.1,NC_133891.1,21760754,21780227,+,8.2e-20,60.8
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141883801,LOC141883801,XP_074625522.1,NC_133887.1,3220076,3233113,-,1.3e-19,60.1
PF00439,"Bromodomain — бромодомен, ридер ацетил-лизина",gene-LOC141877863,LOC141877863,XP_074618998.1,NC_133884.1,24919657,24934915,+,3.4e-18,55.6
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141865918,LOC141865918,XP_074611379.1,NC_133895.1,2608105,2609385,-,1.3e-35,111.6
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141870780,LOC141870780,XP_074612889.1,NW_027435761.1,7554,8090,-,5.4e-35,109.7
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141896766,LOC141896766,XP_074638200.1,NC_133892.1,8215779,8216758,+,8.7e-32,99.4
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141859798,LOC141859798,XP_074606778.1,NC_133882.1,2783880,2785602,+,1e-31,99.2
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141877287,LOC141877287,XP_074618308.1,NC_133884.1,12348510,12349112,+,1.5e-31,98.7
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141889761,LOC141889761,XP_074631178.1,NC_133882.1,9470135,9471189,-,4e-30,94.1
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141897854,LOC141897854,XP_074639597.1,NC_133892.1,915023,916319,+,1.2e-25,79.7
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141885770,LOC141885770,XP_074627752.1,NC_133888.1,18664377,18665615,-,5.7e-11,32.7
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141894158,LOC141894158,XP_074635818.1,NC_133891.1,558699,560899,+,6.6e-11,32.5
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141863291,LOC141863291,XP_074608895.1,NC_133883.1,7487241,7500718,-,1.4e-10,31.5
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141863291,LOC141863291,XP_074608903.1,NC_133883.1,7487241,7500718,-,1.4e-10,31.5
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141863291,LOC141863291,XP_074608889.1,NC_133883.1,7487241,7500718,-,1.4e-10,31.5
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141863291,LOC141863291,XP_074608880.1,NC_133883.1,7487241,7500718,-,1.4e-10,31.5
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141863291,LOC141863291,XP_074608871.1,NC_133883.1,7487241,7500718,-,1.4e-10,31.5
PF00538,Linker_histone — линкерный гистон H1/H5,gene-LOC141865390,LOC141865390,XP_074610743.1,NC_133895.1,13377253,13388625,-,3.8e-10,30.1
PF00567,Tudor — Tudor-домен,gene-LOC141895373,LOC141895373,XP_074637256.1,NC_133891.1,18552729,18580491,+,0.0,1593.6
PF00567,Tudor — Tudor-домен,gene-LOC141895373,LOC141895373,XP_074637255.1,NC_133891.1,18552729,18580491,+,0.0,1593.6
PF00567,Tudor — Tudor-домен,gene-LOC141873914,LOC141873914,XP_074614107.1,NC_133883.1,19344316,19357428,+,1e-161,519.3
PF00567,Tudor — Tudor-домен,gene-LOC141873914,LOC141873914,XP_074614106.1,NC_133883.1,19344316,19357428,+,1.9e-161,518.4
PF00567,Tudor — Tudor-домен,gene-LOC141860380,LOC141860380,XP_074607569.1,NC_133893.1,953550,975261,-,3.6e-109,349.7
PF00567,Tudor — Tudor-домен,gene-LOC141884670,LOC141884670,XP_074626604.1,NC_133887.1,6323298,6353390,-,2.7e-93,298.4
PF00567,Tudor — Tudor-домен,gene-LOC141884670,LOC141884670,XP_074626603.1,NC_133887.1,6323298,6353390,-,2.9e-93,298.4
PF00567,Tudor — Tudor-домен,gene-LOC141863372,LOC141863372,XP_074608993.1,NC_133894.1,19198050,19221329,-,6.8e-74,235.8
PF00567,Tudor — Tudor-домен,gene-LOC141863372,LOC141863372,XP_074608992.1,NC_133894.1,19198050,19221329,-,8.4e-74,235.5
PF00567,Tudor — Tudor-домен,gene-LOC141863372,LOC141863372,XP_074608990.1,NC_133894.1,19198050,19221329,-,8.5e-74,235.5
PF00567,Tudor — Tudor-домен,gene-LOC141863372,LOC141863372,XP_074608989.1,NC_133894.1,19198050,19221329,-,8.5e-74,235.5
PF00567,Tudor — Tudor-домен,gene-LOC141863372,LOC141863372,XP_074608988.1,NC_133894.1,19198050,19221329,-,8.5e-74,235.5
PF00567,Tudor — Tudor-домен,gene-LOC141863372,LOC141863372,XP_074608991.1,NC_133894.1,19198050,19221329,-,8.6e-74,235.5
PF00567,Tudor — Tudor-домен,gene-LOC141877089,LOC141877089,XP_074618050.1,NC_133884.1,11420260,11450747,-,8.5e-62,196.8
PF00567,Tudor — Tudor-домен,gene-LOC141877089,LOC141877089,XP_074618049.1,NC_133884.1,11420260,11450747,-,8.7e-62,196.7
PF00567,Tudor — Tudor-домен,gene-LOC141868907,LOC141868907,XP_074612760.1,NC_133883.1,13242195,13255575,+,2.5e-32,101.6
PF00567,Tudor — Tudor-домен,gene-LOC141873248,LOC141873248,XP_074613274.1,NC_133883.1,6328114,6355999,-,4e-32,101.0
PF00567,Tudor — Tudor-домен,gene-LOC141894602,LOC141894602,XP_074636416.1,NC_133882.1,22824414,22845887,-,7.4e-32,100.1
PF00567,Tudor — Tudor-домен,gene-LOC141894602,LOC141894602,XP_074636401.1,NC_133882.1,22824414,22845887,-,1e-31,99.7
PF00567,Tudor — Tudor-домен,gene-LOC141894602,LOC141894602,XP_074636408.1,NC_133882.1,22824414,22845887,-,1e-31,99.7
PF00567,Tudor — Tudor-домен,gene-LOC141893984,LOC141893984,XP_074635606.1,NC_133882.1,26477474,26497464,+,1.2e-30,96.2
PF00567,Tudor — Tudor-домен,gene-LOC141893984,LOC141893984,XP_074635632.1,NC_133882.1,26477474,26497464,+,1.2e-30,96.2
PF00567,Tudor — Tudor-домен,gene-LOC141893984,LOC141893984,XP_074635622.1,NC_133882.1,26477474,26497464,+,1.2e-30,96.2
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615914.1,NC_133884.1,16897649,16950632,-,7.8e-29,90.4
